id,created_at,text
1047244081053687808,2018-10-02 21:57:00,"Wage growth for American workers has hit a 17-month high, with even bigger boosts for key industries such as health\xe2\x80\xa6"
1047233007197851648,2018-10-02 21:13:00,\xe2\x80\x9cUSMCA Wins Praise as a Victory for American Industries and Workers\xe2\x80\x9d\xe2\x9e\xa1\xef\xb8\x8f
1047229562193686528,2018-10-02 20:59:18,"\xe2\x80\x9cAmerica will always be a nation of great builders, because in America, we honor work, we honor grit, we honor craf\xe2\x80\xa6"
1047222503817596928,2018-10-02 20:31:16,\xe2\x80\x9cThanks to Mr. Trump and the tax reforms and the general confidence in the economy . . . we have really been able t\xe2\x80\xa6
1047215715974041600,2018-10-02 20:04:17,Stock market at an all-time high \xe2\x9c\x85 \nJobless claims at a 50-year low \xe2\x9c\x85 \n4 million jobs since Election Day \xe2\x9c\x85
1047207877654585345,2018-10-02 19:33:08,"President Trump to the National Electrical Contractors Association Convention: ""And now you have a friend and an al\xe2\x80\xa6"
1047192042340798464,2018-10-02 18:30:13,Watch LIVE as President Trump delivers remarks at the National Electrical Contractors Association Convention in Phi\xe2\x80\xa6
1047157586641006594,2018-10-02 16:13:18,"Yesterday, America turned the page on NAFTA."
1047151477213552641,2018-10-02 15:49:01,"USMCA is a win for American farming and manufacturing, establishing fairer trade practices and incentivizing BILLIO\xe2\x80\xa6"
1047143421113245697,2018-10-02 15:17:01,"The US-Mexico-Canada Agreement ""vindicates President Trump\xe2\x80\x99s tough approach to reforming trade,\xe2\x80\x9d Christian Whiton w\xe2\x80\xa6"
1047136877126606849,2018-10-02 14:51:01,A trade agreement for the 21st century: The new USMCA includes protection of intellectual property rights and the s\xe2\x80\xa6
1047131090417324034,2018-10-02 14:28:01,"b""President  realDonaldTrump delivers what past politicians couldnt: a new trade agreement with Mexico and Canada th\xe2\x80\xa6"
1046911392366891009,2018-10-01 23:55:01,"For years, politicians on both sides of the aisle have called for a renegotiation of NAFTA.\n\nPresident Trump is fol\xe2\x80\xa6"
1046896792091148288,2018-10-01 22:57:00,"VP: 60 yrs ago,  NASA launched America\xe2\x80\x99s journey to the stars for the benefit of all. NASA will forever inspire the world &amp; embody Amer\xe2\x80\xa6"
1046882276120907778,2018-10-01 21:59:19,FLOTUS: We are taking off for #Africa!  So looking forward to visiting #Ghana #Malawi #Kenya &amp; #Egypt as I take #BeBest international.\xe2\x80\xa6
1046876438530592768,2018-10-01 21:36:07,"On April 6, 2008, Ronald J. Shurer II and his team were engaged by enemy fire. After treating the wounded, then-Sta\xe2\x80\xa6"
1046870168847167489,2018-10-01 21:11:12,"Today, President  realDonaldTrump presented the Medal of Honor to Ronald J. Shurer II, for his actions on April 6,\xe2\x80\xa6"
1046840496532918272,2018-10-01 19:13:18,Watch LIVE now as President Trump presents the Congressional Medal of Honor:
1046830354861117440,2018-10-01 18:33:00,"b""One of President  realDonaldTrumps most important promises on the campaign trail was to replace the outdated, imba\xe2\x80\xa6"
1046823340260970496,2018-10-01 18:05:08,". USTradeRep: \xe2\x80\x9cI would like to thank President Trump. Your leadership, vision, and grit made this agreement possibl\xe2\x80\xa6"
1046810493229387788,2018-10-01 17:14:05,"The U.S.-Mexico-Canada Agreement\xe2\x80\x94a comprehensive renegotiation of the old North American Free Trade Agreement\xe2\x80\x94is ""a\xe2\x80\xa6"
1046804769187225602,2018-10-01 16:51:20,\xe2\x80\x9cWe are going to be a manufacturing powerhouse that will allow us to reclaim a supply chain that has been off-shore\xe2\x80\xa6
1046799957032865797,2018-10-01 16:32:13,"b""The new USMCA will be a great victory for Americas farmers and ranchers, who will now have the opportunity to sell\xe2\x80\xa6"
1046795422994436096,2018-10-01 16:14:12,\xe2\x80\x9cIt is my great honor to announce that we have successfully completed negotiations on a brand new deal to terminate\xe2\x80\xa6
1046791652554264577,2018-10-01 15:59:13,"Promise made, promise kept. President  realDonaldTrump announces the new U.S.-Mexico-Canada Agreement (USMCA)."
1046778364277665792,2018-10-01 15:06:24,President Trump Delivers Remarks on the United States-Mexico-Canada Agreement
1046737186031374336,2018-10-01 12:22:47,Congratulations to Mexico and Canada!
1046737093584719872,2018-10-01 12:22:25,News conference on the USMCA this morning at 11:00 - Rose Garden of White House.
1046736990048317440,2018-10-01 12:22:00,11am today in the Rose Garden: President  realDonaldTrump will make remarks on The United States Mexico Canada Agreement.
1046450858890854405,2018-09-30 17:25:01,"""Incomes are at record highs, unemployment is down. Rather than underperforming, as the economy did throughout Obam\xe2\x80\xa6"
1046136291841241088,2018-09-29 20:35:02,\xe2\x80\x9cMove over Russia and Saudi Arabia. America has reclaimed its throne atop the oil world. For the first time since 1\xe2\x80\xa6
